BRIDGE NO.,LATITUDE,LONGITUDE,VINTAGE,Bridge Length,Spans,SKEW ANGLE,PRIMARY FUNCTION,Pier Type,Support Description,BRIDGE PRIMARY MATERIAL,Superstructure Type,ROAD CLASS,M Truck,Tandem,Triple Axle,Quad Axle,484 Quad Axle,T44 (%),HLP 320 (%),HLP 400 (%),MS 1600 (%),OVERALL WIDTH,WIDTH BETWEEN KERB,NO. OF TRAFFIC LANES,NO. OF FOOTPATHS,Earthquake design,Longest Span,Structure Type,HAZUS_CLASS,K3d,Ishape,Kskew,road
0596,-31.976614,117.487839,1954-01-01,57.0,9,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,35.0,36.0,100,98,94,0.0,8.8,8.17,2,0,False,6.333333333333333,Timber,HWB24,1.025,0.0,1.0,York Merredin
0597,-31.962555,117.596252,1935-01-01,13.05,2,0,Road Bridge,Solid Wall,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,0,0.0,8.62,8.07,2,0,False,6.525,Timber,HWB24,1.2,0.0,1.0,York Merredin
0598,-31.96212,117.609146,1935-01-01,7.04,1,0,Road Bridge,Solid Wall,Simply Suported,Timber,Round Timber,3,10.0,18.0,27.0,34.0,36.0,100,90,81,65.0,8.38,8.1,2,0,False,7.04,Timber,HWB3,1.0,1.0,1.0,York Merredin
0602,-31.916109,117.882843,1953-01-01,13.83,2,9,Road Bridge,Solid Wall,Simply Supported,Timber,Round Timber,3,10.0,18.0,27.0,36.0,36.0,100,100,100,0.0,8.37,8.05,2,0,False,6.915,Timber,HWB24,1.2,0.0,0.993825105637374,York Merredin
0606,-31.775032,116.398613,1957-01-01,9.76,2,0,Road Bridge,Solid Wall,Simply Supported,Reinforced Concrete,Inverted U Beams,XX,0.0,54.9,63.4,81.0,108.8,145,0,160,0.0,12.85,12.25,3,0,False,4.88,Concrete,HWB24,1.2,0.0,1.0,National Highway 94
0612,-31.648721,116.671612,1959-06-22,133.85,11,0,Road Bridge,6 column driven concrete,Simply Supported,Prestressed Concrete,U-Beam,7,30.4,26.2,29.6,33.2,37.4,100,0,0,0.0,10.05,7.92,2,1,False,12.168181818181818,Prestressed,HWB17,1.025,0.0,1.0,Peel Terrace
0613,-31.642897,116.697029,1933-12-30,65.8,9,0,Road Bridge,Driven Timber Pile,Simply Supported,Timber Hybrid,Round Timber,4,10.0,18.0,27.0,36.0,36.0,100,0,0,0.0,8.32,8.02,2,0,False,7.311111111111111,Timber,HWB24,1.025,0.0,1.0,Yilgarn Ave
0617,-31.651083,116.990944,1970-01-01,30.55,4,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,1,10.0,18.0,27.0,36.0,36.0,100,100,90,0.0,9.8,8.6,2,0,False,7.6375,Concrete,HWB24,1.0666666666666669,0.0,1.0,National Highway 94
0627,-31.491711,118.240387,1966-06-01,18.3,6,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,1,0.0,26.3,33.5,39.6,51.8,135,142,112,92.0,9.09,8.25,2,0,False,3.0500000000000003,Concrete,HWB24,1.04,0.0,1.0,National Highway 94
0628,-31.484246,118.293252,1966-01-01,12.2,2,0,Road Bridge,Driven RC piles,Continuous,Reinforced Concrete,Solid Flat Slab,1,0.0,18.0,27.0,36.0,36.0,120,0,120,0.0,9.76,8.6,2,0,False,6.1,Concrete,HWB24,1.2,0.0,1.0,National Highway 94
