#,,,,,,"generated_by='OpenQuake engine 3.20.1', start_date='2024-10-18T11:05:59', checksum=3289856554"
site_id,lon,lat,gmv_SA(0.3),gsd_SA(0.3),gmv_SA(1.0),gsd_SA(1.0)
233,1.18180E+02,-3.18700E+01,6.83710E-02,1.75934E+00,3.27440E-02,1.70584E+00
234,1.17770E+02,-3.19200E+01,8.96958E-02,1.57817E+00,4.08658E-02,1.61337E+00
235,1.17770E+02,-3.18700E+01,3.85766E-02,1.29807E+00,1.32741E-02,1.25192E+00
236,1.17920E+02,-3.19600E+01,8.11686E-02,1.63847E+00,3.76952E-02,1.64310E+00
237,1.17920E+02,-3.18900E+01,5.28096E-02,1.43610E+00,2.11249E-02,1.34438E+00
238,1.18290E+02,-3.19500E+01,6.22881E-02,1.78097E+00,3.01566E-02,1.69891E+00
239,1.17950E+02,-3.20900E+01,7.88653E-02,1.65835E+00,3.68437E-02,1.65417E+00
240,1.17700E+02,-3.19800E+01,9.39080E-02,1.55532E+00,4.24452E-02,1.60474E+00
241,1.17930E+02,-3.18600E+01,5.24131E-02,1.44023E+00,2.10004E-02,1.34632E+00
242,1.16320E+02,-3.20900E+01,3.10790E-01,1.36942E+00,1.23355E-01,1.57362E+00
243,1.16210E+02,-3.19600E+01,1.83996E-01,1.27078E+00,5.72021E-02,1.43983E+00
244,1.16290E+02,-3.19700E+01,2.52375E-01,1.26343E+00,7.82989E-02,1.45505E+00
245,1.16170E+02,-3.19700E+01,2.34043E-01,1.34520E+00,8.44812E-02,1.49773E+00
246,1.16190E+02,-3.19800E+01,1.66985E-01,1.27444E+00,5.19938E-02,1.43625E+00
247,1.16240E+02,-3.20300E+01,3.03265E-01,1.36947E+00,1.20211E-01,1.57149E+00
248,1.16270E+02,-3.20500E+01,3.13942E-01,1.36941E+00,1.24675E-01,1.57450E+00
249,1.16270E+02,-3.19900E+01,2.21436E-01,1.26531E+00,6.87227E-02,1.44779E+00
250,1.16200E+02,-3.16600E+01,2.79312E-01,1.36997E+00,1.10270E-01,1.56466E+00
251,1.16190E+02,-3.16600E+01,1.59463E-01,1.27623E+00,4.96959E-02,1.43455E+00
252,1.16190E+02,-3.16500E+01,2.66628E-01,1.37052E+00,1.05048E-01,1.56106E+00
253,1.16640E+02,-3.16500E+01,5.59753E-01,1.32129E+00,2.31968E-01,1.53365E+00
254,1.16700E+02,-3.16300E+01,4.29771E-01,1.32716E+00,1.74179E-01,1.53720E+00
