BRIDGE NO.,LATITUDE,LONGITUDE,HAZUS_CLASS,K3d,Kskew,Ishape,Slight,Moderate,Extensive,Complete
0574,-31.882771,116.510895,HWB24,1.1,1.0,0.0,0.26173735185295255,0.16314304550118353,0.2177300485650171,0.1292838811950333
0576,-31.910091,116.665176,HWB3,1.0,1.0,1.0,0.06257367052391945,0.03101908759664681,0.02689706767757624,0.008480339139119827
0579,-31.89606,116.78059,HWB3,1.0,1.0,1.0,0.010504501915424395,0.0037050853056904585,0.0021815072931203913,0.00035938986862495977
0580,-31.90275,116.787849,HWB3,1.0,1.0,1.0,0.00872287124932444,0.002993207330572928,0.0017096419330577342,0.0002678480902330381
0587,-31.927516,116.95485,HWB24,1.0666666666666669,0.9923748047044564,0.0,0.036644920942943957,0.0067980616129758266,0.002689984705360683,0.00023977287770023687
0589,-31.945627,117.010056,HWB24,1.1,1.0,0.0,0.020627378994545958,0.00260150515277887,0.0008663797134347877,5.9173817289073154e-05
0592,-31.978849,117.085045,HWB24,1.1,1.0,0.0,0.029076827279625996,0.00404692077007038,0.0014544581187377929,0.00011176602540871888
0596,-31.976614,117.487839,HWB24,1.025,1.0,0.0,0.0026557646270838663,0.00033125453661024003,8.123378867823539e-05,3.442468847360356e-06
0597,-31.962555,117.596252,HWB24,1.2,1.0,0.0,0.0020526365337218623,8.229595520732902e-05,1.6940073888727765e-05,5.445477476811441e-07
0598,-31.96212,117.609146,HWB3,1.0,1.0,1.0,6.65235818692301e-07,9.225995620553246e-08,2.0649553409099178e-08,6.806930230891093e-10
0602,-31.916109,117.882843,HWB24,1.2,0.993825105637374,0.0,2.1932954936721376e-05,3.5540929493765145e-07,4.218925367249842e-08,5.592405518170773e-10
0606,-31.775032,116.398613,HWB24,1.2,1.0,0.0,0.33311407117412967,0.1430829918291895,0.15681354182525992,0.0676340819747736
0608,-31.720611,116.521821,HWB24,1.011764705882353,0.8408964152537145,0.0,0.0827713732350932,0.1489185066222033,0.28562553273831176,0.31637743569860605
0610,-31.71096,116.52526,HWB24,1.2,1.0,0.0,0.3100920571940122,0.16123982730328879,0.20869390558871526,0.11782321450878275
0612,-31.648721,116.671612,HWB17,1.025,1.0,0.0,0.20324332326243227,0.09438207842438578,0.07848592529258773,0.02191906710332787
